Library,Table
crsp,dse62exchdates
crsp,dse62names
crsp,dseexchdates
crsp,dsenames
crsp,mse62exchdates
crsp,mse62names
crsp,mseexchdates
crsp,msenames
crsp,s6z_nam
crsp,s6z_nam_legacy
crsp,saz_nam
crsp,saz_nam_legacy
crsp,stocknames
crsp,stocknames62
crsp,stocknames62_v2
crsp,stocknames_v2
crsp_a_stock,dseexchdates
crsp_a_stock,dsenames
crsp_a_stock,mseexchdates
crsp_a_stock,msenames
crsp_a_stock,saz_nam
crsp_a_stock,saz_nam_legacy
crsp_a_stock,stocknames
crsp_a_stock,stocknames_v2
crspsamp,dsenames_trial
crspsamp_all,dsenames_trial
