Library,Table
crsp,dse
crsp,dse62
crsp,dse62exchdates
crsp,dse62names
crsp,dseall
crsp,dseall62
crsp,dseexchdates
crsp,dsenames
crsp,mse
crsp,mse62
crsp,mse62exchdates
crsp,mse62names
crsp,mseall
crsp,mseall62
crsp,mseexchdates
crsp,msenames
crsp,stock_qvards
crsp_a_stock,dse
crsp_a_stock,dseall
crsp_a_stock,dseexchdates
crsp_a_stock,dsenames
crsp_a_stock,mse
crsp_a_stock,mseall
crsp_a_stock,mseexchdates
crsp_a_stock,msenames
crsp_a_stock,stock_qvards
crspsamp,dsenames_trial
crspsamp,dsftrial
crspsamp,msftrial
crspsamp_all,dsenames_trial
crspsamp_all,dsftrial
crspsamp_all,msftrial
